Id,DATE_DERNIERE_MAJ,TYPE,NOM_OFFRE,PORTE_ESCALIER,BATIMENT_RESIDENCE,RUE,LIEUDIT_BP,CODE_POSTAL,COMMUNE,COMMUNE_INSEE,TEL,TEL_MOB,MEL,SITE_WEB,LONGITUDE,LATITUDE,GEOLOC_MANUELLE,INFOS_COMPLEMENTAIRES,LABEL_TOURISME_HANDICAP,MARQUES_LABELS,LABELS_CLASSEMENT,LABELS_THEMES,CLASSEMENT,CHAINES,LOGIS_CLASSEMENT,LOGIS_THEMES,CAPACITE_NBRE_PERS,OUVERTURE,TARIFS,EQUIPEMENTS,SERVICES
HPAAQU0640165L3P,03/01/2020,Aire naturelle,"Aire Naturelle de Camping ""Cazenave-Doux""",,,19 rue Hondaa,,64260,CASTET,64175,+33 5 59 05 88 26,,chezjeancazenave@wanadoo.fr,, -0.4160135,43.0669275,,,,,,,Aire naturelle,,,,51,01/06/2020|30/09/2020|||||,"Forfait journalier|8,00|8,00|1 personne # Forfait journalier|12,70|12,70|2 personne # Autre tarif|2,70|2,70|Supplément électricité # Autre tarif|2,00|2,00|sup animal",Branchements électriques,Dépôt de glace # Wifi
HPAAQU03301V3EEX,03/01/2020,Aire naturelle,Aire naturelle de camping de Lescarran,,,35 avenue de la Côte d'Argent,,33680,LE PORGE,33333,+33 5 56 26 51 85,+33 6 74 33 64 29,,http://www.bienvenue-a-la-ferme.com/gironde/ferme-camping-de-lescaran-55030, -1.085541,44.881899,Oui,,,Bienvenue à la Ferme,,,Aire naturelle,,,,75,15/06/2020|15/09/2020|09:00|12:00|14:00|20:00|,"Forfait journalier|2,80|2,80|Emplacement  # Forfait journalier|3,20|3,20|Tarif par personne # Forfait journalier|2,00|2,00|Enfant de moins de 7 ans  # Forfait journalier|3,50|3,50|Electricité pour 6 A # Forfait journalier|4,00|4,00|Electricité pour 10 A # Forfait journalier|3,20|3,20|Adulte supplémentaire  # Forfait journalier|1,50|1,50|Tente supplémentaire # Forfait journalier|1,10|1,10|Douche # Forfait journalier|0,75|0,75|Animal # Forfait journalier|1,00|1,00|Visiteur # Autre tarif|3,00|4,00|Garage mort",Branchements d'eau # Branchements électriques,Location de caravanes
HPAAQU03301V38K9,06/01/2020,Aire naturelle,Aire naturelle de camping La Prairie,,,225 bis route Sainte Hélène de l'Etang,,33121,CARCANS,33097,+33 9 71 57 18 50,+33 6 69 74 85 93,pascale.dubois3@icloud.com,http://www.campinglaprairie-carcans.fr, -1.0703086,45.1112097,Oui,,,,,,Aire naturelle,,,,75,13/04/2020|12/10/2020|||||,"Forfait journalier|14,00||Tente",,Location de caravanes
HPAAQU04001WBDRQ,03/01/2020,Aire naturelle,Aire naturelle de camping Lafargue-Duport,,,1674 chemin de Mayotte,,40600,BISCARROSSE,40046,+33 5 58 78 74 58,+33 6 42 18 19 84,airenaturelle.lafargue@gmail.com,http://aire-naturelle-lafargue.fr/, -1.1491441,44.4354039,Oui,,,,,,Aire naturelle,,,,51,01/04/2020|30/09/2020|||||,,Branchements d'eau # Branchements électriques # Emplacement camping car # Jeux pour enfants,Dépôt de glace
HPAAQU04001WBDRF,07/01/2020,Aire naturelle,Aire naturelle de camping Le Frézat,,,2583 chemin de Mayotte,,40600,BISCARROSSE,40046,,+33 6 22 65 57 37,contact@lefrezat.fr,http://www.lefrezat.fr, -1.1405825,44.4394640,Oui,,,,,,Aire naturelle,,,,75,15/04/2020|15/10/2020|||||,"|16,00|18,00|tarif standard",Boulodrome # Branchements électriques # Emplacement camping car # Jeux pour enfants,Dépôt de glace
HPAAQU03301V38LG,03/01/2020,Aire naturelle,Aire naturelle de camping Les Noisetiers,,,116 avenue du Bassin d'Arcachon,Laruau Sud,33680,LE PORGE,33333,+33 5 56 26 54 91,+33 6 83 79 63 79,bernard.guillebaut@free.fr,https://airenaturellelesnoisetiers.business.site/, -1.1166143,44.8422381,Oui,,,,,,Aire naturelle,,,,75,01/07/2020|30/09/2020|||||,"Autre tarif|4,00|4,00|Emplacement # Forfait journalier|4,00|4,00|Par personne  # Forfait journalier|2,00|2,00|Pour les enfants de moins de 10 ans   # Forfait journalier|3,00|3,00|Electricité # Forfait journalier|4,00|4,00|Garage mort # Forfait journalier|4,00|4,00|Tente supplémentaire # Forfait journalier|1,00|1,00|Voiture supplémentaire # Forfait journalier|1,00|1,00|Animal",Branchements d'eau # Branchements électriques # Emplacement camping car,Terrain fermé la nuit
HPAAQU03301V3EZN,03/01/2020,Aire naturelle,Aire naturelle de camping Les Prés du Pas du Mas,,,50 route des Lacs,Maisonneuve,33680,LE PORGE,33333,+33 5 57 17 31 43,,roche.marieanne@orange.fr,, -1.0981178,44.8870124,Oui,,,,,,Aire naturelle,,,,75,15/06/2020|06/09/2020|||||,"Forfait journalier|13,20|13,20|Tarif pour 2 personne + emplacement + voiture",Branchements d'eau # Branchements électriques # Emplacement camping car,
HPAAQU03301V3EP4,24/01/2020,Aire naturelle,Aire naturelle de camping Les Tilleuls,,,Les Alberts,,33390,MAZION,33280,+33 5 57 42 18 13,,contact@chateau-les-alberts.com,, -0.6177234,45.1677271,Oui,,,,,,Aire naturelle,,,,75,13/04/2020|16/10/2020|||||,"Forfait journalier|6,00||Adulte # Forfait journalier|3,00||Enfant # Autre tarif|3,00||Electricité",Branchements électriques,
HPAAQU03301V3F7J,03/01/2020,Aire naturelle,Aire naturelle de camping Maisonneuve,,,48 route des Lacs,,33680,LE PORGE,33333,+33 5 57 17 31 43,,roche.marieanne@orange.fr,, -1.0982036,44.8881678,Oui,,,,,,Aire naturelle,,,,75,15/06/2020|06/09/2020|||||,"Forfait journalier|13,20|13,20|Tarif pour 2 personnes + emplacement + voiture",Boulodrome # Branchements d'eau # Branchements électriques # Emplacement camping car,
HPAAQU06401UUCTA,30/01/2020,Aire naturelle,Aire Naturelle de Camping Ospitalia,,Maison Ospitalia,,,64640,HELETTE,64259,+33 5 59 37 98 79,,,, -1.2452600,43.3081840,,,,Bienvenue à la Ferme # Gîtes de France,2 épis2 épis,,Aire naturelle,,,,66,,,,
